tenant,site,device,classification,device_evidence,live_messages,retained_messages,lwt,kinds,parent_device
inter,aulnay,aex-5,sensor_endpoint,False,0,1,,SENSOR,
inter,aulnay,aex-5-6,missing_device,True,12,4,Online,HEARTBEAT;LOGGING;LWT;PRINT;SENSOR;STATE,
inter,aulnay,aex-6,sensor_endpoint,False,0,1,,SENSOR,
inter,aulnay,ch1_d,missing_device,True,16,6,,COUTS;HEARTBEAT;LOGGING;POWER;PWDAYS;PWHOURS;PWMONTHS;RESULT;SENSOR;STATE,
inter,aulnay,ch2_d,missing_device,True,12,2,,HEARTBEAT;LOGGING;RESULT;SENSOR;STATE,
inter,aulnay,ch3_d,missing_device,True,8,2,,HEARTBEAT;LOGGING;RESULT;SENSOR,
inter,aulnay,ch4_d,missing_device,True,8,2,,HEARTBEAT;LOGGING;RESULT;SENSOR,
inter,aulnay,ch5_d,missing_device,True,8,2,,HEARTBEAT;LOGGING;RESULT;SENSOR,
inter,aulnay,ch5_p,missing_device,True,4,2,,HEARTBEAT;LOGGING;RESULT;SENSOR,
inter,aulnay,ch6_d,missing_device,True,8,2,,HEARTBEAT;LOGGING;RESULT;SENSOR;STATE,
inter,aulnay,ch7_d,missing_device,True,4,2,,HEARTBEAT;LOGGING;RESULT;SENSOR,
inter,aulnay,dl12-boulangerie,defined,True,44,2,,HEARTBEAT;LOGGING;PRINT,
inter,aulnay,dl12-boulangerie-1,derived_channel_topic,False,6,7,,COUT;COUTS;NIGHTDAY;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-boulangerie
inter,aulnay,dl12-boulangerie-2,derived_channel_topic,False,6,7,,COUT;COUTS;NIGHTDAY;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-boulangerie
inter,aulnay,dl12-boulangerie-3,derived_channel_topic,False,6,7,,COUT;COUTS;NIGHTDAY;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-boulangerie
inter,aulnay,dl12-mono1,missing_device,True,60,2,Online,LOGGING;LWT;PRINT,
inter,aulnay,dl12-mono1-1,derived_channel_topic,False,0,2,,COUT;COUTS,dl12-mono1
inter,aulnay,dl12-mono1-10,derived_channel_topic,False,6,6,,COUT;COUTS;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-mono1
inter,aulnay,dl12-mono1-11,derived_channel_topic,False,6,4,,POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-mono1
inter,aulnay,dl12-mono1-12,derived_channel_topic,False,6,4,,POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-mono1
inter,aulnay,dl12-mono1-2,derived_channel_topic,False,6,6,,COUT;COUTS;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-mono1
inter,aulnay,dl12-mono1-3,derived_channel_topic,False,6,6,,COUT;COUTS;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-mono1
inter,aulnay,dl12-mono1-4,derived_channel_topic,False,6,6,,COUT;COUTS;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-mono1
inter,aulnay,dl12-mono1-6,derived_channel_topic,False,6,6,,COUT;COUTS;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-mono1
inter,aulnay,dl12-mono1-7,derived_channel_topic,False,6,6,,COUT;COUTS;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-mono1
inter,aulnay,dl12-mono1-8,derived_channel_topic,False,6,6,,COUT;COUTS;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-mono1
inter,aulnay,dl12-mono1-9,derived_channel_topic,False,0,2,,COUT;COUTS,dl12-mono1
inter,aulnay,dl12-tgbt1,defined,True,3,2,,HEARTBEAT;PRINT,
inter,aulnay,dl12-tgbt1-1,derived_channel_topic,False,6,7,,COUT;COUTS;NIGHTDAY;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-tgbt1
inter,aulnay,dl12-tgbt1-2,derived_channel_topic,False,6,7,,COUT;COUTS;NIGHTDAY;POWER;PWDAYS;PWHOURS;PWMONTHS,dl12-tgbt1
inter,aulnay,dl12-tgbt2,defined,False,27,0,,LOGGING;RESULT,
